Processo;Código do Cliente;Cliente;Data Bal.;Geração média de caixa;Último Balanço > 1460 dias;ROB para data base;Soma 3 últimos Lucros Líquidos ;Patrimônio Líquido - Última DF;Risco;Dívida Líquida / Ebitda;Dívida / ROB;Dívida;Aplicações de Liquidez Imediata;Nível BACEN;Possui Audit.Externa?;Audit. Big 4
418991;184076;TECNOTEXTIL CONFECCOES LTDA;43465;14217756,62;Não;61995914,17;42653269,85;23609469,94;C ;-0,238302151;0,001588793;0;3887975,39;C ;N;NULL
418996;5415;GECAL INDUSTRIA E COMERCIO DE PRODUTOS MINERA;43465;12458473,35;Não;70915472,78;31772694,48;52119738,72;B ;0,37663481;0,147539266;9036702,57;4397680,21;B ;N;NULL
419248;984697;BANDEIRA LOGISTICA E EMPREENDIMENTOS EIRELI;43465;10134961,67;Não;88625399;29433539;36188500,2;AA;-0,055298443;0,027561986;Não possui balanço cadastrado;3500000;AA;N;NULL
419497;59987;NUTRIR REFEICOES LTDA;43465;3904557,177;Não;30396609,52;11713671,53;4958416,92;C ;-0,318289151;0;Não possui balanço cadastrado;1714154,85;C ;N;NULL
419585;382160;UNIMED TRES CORACOES COOPERATIVA DE TRABALHO;43465;1112325,333;Não;36949646;3336976;5192369;A ;-0,332674013;0,063878826;773080,06;3292916;A ;S;N
419911;538497;VALE D OURO IMPORTACAO & EXPORTACAO S/A;43465;5161043,33;Não;50631953,56;14491758,03;32567190,91;B ;-2,647691756;0,015585277;563470;20972543,89;B ;N;NULL
420282;347791;MIB - MINERACAO IBIRITE LTDA;43465;8904483,667;Não;68504584;15330614;39170888;C ;3,26387098;0,038868786;2662690,43;0;C ;N;NULL
420354;2933;PAPI TEXTIL LTDA;43465;842689,64;Não;58943051,74;1526068,92;8563137,15;D ;2,772125013;0,272404148;2641900,49;0;D ;N;NULL
420577;391189;FORTUCE & FORTUCE LTDA;43465;4378262;Não;65357544,11;4206368,64;5668553,5;B ;1,496369899;0,144133453;6346850;270772,13;B ;N;NULL
420845;326679;COOPERATIVA AGROPECUARIA DE IPANEMA LTDA;43465;2264523,143;Não;68192284,77;6793569,43;9586318,31;D ;4,658266586;0,27833281;4651550;132148,83;D ;N;NULL
421040;549603;TRILAT- LEITE & DERIVADOS LTDA;43465;3661195,333;Não;84660903;10605008;12255781;D ;2,583815047;0,117251336;3610810;0;D ;N;NULL
421213;317385;TORP INDUSTRIA TEXTIL LTDA;43465;3918754,277;Não;33418147,38;9360386,86;19130454,45;C ;0,161458257;0,036408661;131750;45603,74;C ;N;NULL
421355;315600;FABRICA MINEIRA DE ELETRODOS E SOLDAS DENVER;43465;1486387,667;Não;60804854;2686663;10288371;D ;6,751032019;0,171072198;3423690,07;54882;D ;S;N
